episode,score,type
1199,3.0,train
1200,2.0,train
1201,4.0,train
1202,0,train
1203,0,train
1204,1.0,train
1205,1.0,train
1206,2.0,train
1207,1.0,train
1208,1.0,train
1209,2.0,train
1210,2.0,train
1211,2.0,train
1212,0,train
1213,3.0,train
1214,2.0,train
1215,0,train
1216,0,train
1217,1.0,train
1218,3.0,train
1219,0,train
1220,1.0,train
1221,2.0,train
1222,2.0,train
1223,0,train
1224,0,train
1225,2.0,train
1226,1.0,train
1227,2.0,train
1228,2.0,train
1229,0,train
1230,2.0,train
1231,0,train
1232,1.0,train
1233,1.0,train
1234,2.0,train
1235,0,train
1236,1.0,train
1237,5.0,train
1238,3.0,train
1239,2.0,train
1240,1.0,train
1241,1.0,train
1242,0,train
1243,0,train
1244,2.0,train
1245,1.0,train
1246,1.0,train
1247,1.0,train
1248,2.0,train
1249,1.0,train
1250,2.0,train
1251,1.0,train
1252,1.0,train
1253,1.0,train
1254,1.0,train
1255,1.0,train
1256,2.0,train
1257,1.0,train
1258,3.0,train
1259,1.0,train
1260,2.0,train
1261,2.0,train
1262,1.0,train
1263,1.0,train
1264,3.0,train
1265,4.0,train
1266,1.0,train
1267,2.0,train
1268,0,train
1269,2.0,train
1270,1.0,train
1271,1.0,train
1272,1.0,train
1273,1.0,train
1274,1.0,train
1275,2.0,train
1276,1.0,train
1277,5.0,train
1278,1.0,train
1279,0,train
1280,1.0,train
1281,1.0,train
1282,1.0,train
1283,2.0,train
1284,2.0,train
1285,0,train
1286,5.0,train
1287,1.0,train
1288,2.0,train
1289,2.0,train
1290,3.0,train
1291,2.0,train
1292,0,train
1293,2.0,train
1294,1.0,train
1295,0,train
1296,2.0,train
1297,4.0,train
1298,1.0,train
1299,3.0,train
1300,3.0,train
1301,4.0,train
1302,2.0,train
1303,1.0,train
1304,4.0,train
1305,2.0,train
1306,1.0,train
1307,1.0,train
1308,2.0,train
1309,1.0,train
1310,1.0,train
1311,1.0,train
1312,6.0,train
1313,1.0,train
1314,1.0,train
1315,1.0,train
1316,1.0,train
1317,3.0,train
1318,0,train
1319,1.0,train
1320,0,train
1321,3.0,train
1322,4.0,train
1323,1.0,train
1324,1.0,train
1325,2.0,train
1326,1.0,train
1327,1.0,train
1328,1.0,train
1329,2.0,train
